City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Uvat,RU,2019-10-22 20:31:54,59.14,68.9,30.92,91,79,9.66
115,Saint-Philippe,CA,2019-10-22 20:31:55,45.36,-73.48,61.0,76,90,21.92
116,Crixas,BR,2019-10-22 20:31:55,-14.55,-49.97,86.58,47,34,1.3
117,Kenai,US,2019-10-22 20:31:55,60.55,-151.26,39.99,93,90,8.05
118,General Bravo,MX,2019-10-22 20:31:55,25.79,-99.18,88.43,24,1,16.26
119,Inhambane,MZ,2019-10-22 20:31:55,-23.87,35.38,77.0,88,75,9.17
120,Labuhan,ID,2019-10-22 20:31:56,-2.54,115.51,69.71,83,100,1.16
121,Flinders,AU,2019-10-22 20:31:56,-34.58,150.85,63.0,100,0,5.82
122,Kharsawan,IN,2019-10-22 20:31:56,22.8,85.83,74.1,70,96,2.1
123,Umm Lajj,SA,2019-10-22 20:31:56,25.02,37.27,77.2,49,100,3.11
124,Miraflores,PE,2019-10-22 20:31:57,-16.39,-71.52,66.2,24,0,12.75
125,Yumen,CN,2019-10-22 20:31:57,40.29,97.04,37.87,41,100,9.44
126,Kerchevskiy,RU,2019-10-22 20:31:57,59.95,56.29,27.46,89,100,5.01
127,Matagami,NG,2019-10-22 20:31:57,9.67,8.4,71.55,80,58,1.66
128,Brzeziny,PL,2019-10-22 20:31:58,51.8,19.75,52.0,100,100,1.12
129,Bethel,US,2019-10-22 20:27:54,60.79,-161.76,37.4,73,75,4.7
130,Alta Floresta,BR,2019-10-22 20:31:58,-9.87,-56.08,84.96,60,100,2.57
131,Edd,ER,2019-10-22 20:31:58,13.93,41.69,87.91,32,48,11.36
132,Luderitz,NA,2019-10-22 20:31:58,-26.65,15.16,59.0,77,0,12.75
133,Broome,GB,2019-10-22 20:31:58,52.47,1.45,48.99,87,0,6.93
134,Tuyen Quang,VN,2019-10-22 20:31:59,21.82,105.22,75.27,89,100,1.52
135,Marsh Harbour,BS,2019-10-22 20:31:59,26.54,-77.06,81.79,70,85,5.59
136,Kodiak,US,2019-10-22 20:31:59,39.95,-94.76,59.0,30,1,18.34
137,Kinablangan,PH,2019-10-22 20:31:59,7.69,126.55,72.1,89,67,3.87
138,Starkville,US,2019-10-22 20:31:11,33.45,-88.82,68.0,34,1,8.05
139,Busselton,AU,2019-10-22 20:32:00,-33.64,115.35,55.99,74,13,12.08
140,Vitim,RU,2019-10-22 20:32:00,59.44,112.57,19.18,97,100,3.67
141,Dongying,CN,2019-10-22 20:32:00,37.43,118.67,61.2,38,100,4.27
142,Carnarvon,ZA,2019-10-22 20:32:01,-30.97,22.13,61.3,21,100,19.62
143,Karratha,AU,2019-10-22 20:32:01,-20.74,116.85,81.79,53,22,19.08
144,Castro,CL,2019-10-22 20:32:01,-42.48,-73.76,55.4,58,1,8.05
145,Glendive,US,2019-10-22 20:32:01,47.11,-104.71,48.2,42,20,6.93
146,Adrar,DZ,2019-10-22 20:32:02,27.87,-0.29,87.8,14,0,13.87
147,Tasiilaq,GL,2019-10-22 20:32:02,65.61,-37.64,26.6,63,0,1.12
148,Baruun-Urt,MN,2019-10-22 20:32:02,46.68,113.28,27.54,62,100,14.38
149,Opuwo,NA,2019-10-22 20:32:02,-18.06,13.84,77.0,14,0,12.57
150,Mabaruma,GY,2019-10-22 20:32:02,8.2,-59.78,81.99,70,69,4.88
151,Mbandaka,CD,2019-10-22 20:32:03,0.05,18.26,71.49,95,67,1.39
152,Cockburn Town,TC,2019-10-22 20:32:03,21.46,-71.14,84.2,70,75,10.29
153,Kochkurovo,RU,2019-10-22 20:32:03,54.03,45.43,48.16,74,100,5.75
154,Hofn,IS,2019-10-22 20:32:03,64.25,-15.21,37.26,80,100,37.33
155,Phan Thiet,VN,2019-10-22 20:32:04,10.93,108.1,73.15,90,44,1.77
156,Tadine,NC,2019-10-22 20:32:04,-21.55,167.88,73.18,74,58,13.06
157,Shatsk,RU,2019-10-22 20:32:04,54.03,41.71,46.67,91,39,8.03
158,Salalah,OM,2019-10-22 20:32:04,17.01,54.1,82.4,51,29,4.7
159,Prescott,US,2019-10-22 20:31:49,34.54,-112.47,82.0,14,1,4.7
